dataset,n_qubits,seed,k,arm,accuracy,balanced,f1
EColi,4,4,128,random_all,0.921514629948365,0.8043887147335423,0.7107217571977315
EColi,6,0,8,spectral,0.9156626506024096,0.752832674571805,0.6201550387596899
EColi,6,0,8,random_live,0.8746987951807229,0.5589591567852438,0.2004879682755789
EColi,6,0,8,random_all,0.8716006884681583,0.5208379446640317,0.08290107725388615
EColi,6,0,16,spectral,0.9225473321858864,0.7681422924901187,0.6511627906976745
EColi,6,0,16,random_live,0.8922547332185886,0.6701159420289855,0.4655580789957442
EColi,6,0,16,random_all,0.8846815834767641,0.603304347826087,0.3298820043813786
EColi,6,0,32,spectral,0.927710843373494,0.7767852437417655,0.671875
EColi,6,0,32,random_live,0.9160068846815836,0.7700658761528327,0.6384025960010025
EColi,6,0,32,random_all,0.8925989672977626,0.6657707509881423,0.4589086340716876
EColi,6,0,64,spectral,0.9345955249569707,0.8034519104084321,0.7121212121212122
EColi,6,0,64,random_live,0.9394148020654045,0.8300685111989461,0.7428475188370314
EColi,6,0,64,random_all,0.9318416523235801,0.7950566534914361,0.695881385592234
EColi,6,0,128,spectral,0.9259896729776248,0.8098682476943346,0.6950354609929078
EColi,6,0,128,random_live,0.9318416523235801,0.846163372859025,0.7342902042510653
EColi,6,0,128,random_all,0.9325301204819277,0.8317944664031621,0.7269756121772184
EColi,6,1,8,spectral,0.9001721170395869,0.7376361773271491,0.5671641791044776
EColi,6,1,8,random_live,0.8753872633390705,0.5803554093409556,0.2655782985130811
EColi,6,1,8,random_all,0.8750430292598967,0.5391031172473304,0.1323362794312219
EColi,6,1,16,spectral,0.9104991394148021,0.7611368784381405,0.6119402985074627
EColi,6,1,16,random_live,0.8946643717728054,0.6922581167080142,0.4854798282559635
EColi,6,1,16,random_all,0.880895008605852,0.5940621292201489,0.30186147076680026
EColi,6,1,32,spectral,0.9156626506024096,0.7758197605436307,0.6370370370370371
EColi,6,1,32,random_live,0.8960413080895009,0.7376199978427354,0.5550931626077029
EColi,6,1,32,random_all,0.8843373493975903,0.6464701758170639,0.3886626978738454
EColi,6,1,64,spectral,0.9122203098106713,0.7679861935066336,0.6222222222222222
EColi,6,1,64,random_live,0.9053356282271945,0.7722602739726028,0.6122215979403947
EColi,6,1,64,random_all,0.9015490533562822,0.7384235789019522,0.5691714101358469
EColi,6,1,128,spectral,0.9104991394148021,0.778732067738108,0.6285714285714286
EColi,6,1,128,random_live,0.9094664371772806,0.7945636932369755,0.6400055477540264
EColi,6,1,128,random_all,0.9122203098106713,0.7844083701866034,0.6371780057779541
EColi,6,2,8,spectral,0.8932874354561101,0.7132827324478178,0.5571428571428572
EColi,6,2,8,random_live,0.8674698795180722,0.5841034155597722,0.27045496217119225
EColi,6,2,8,random_all,0.8571428571428571,0.5322367172675522,0.1130952380952381
EColi,6,2,16,spectral,0.9122203098106713,0.7536171726755219,0.6382978723404256
EColi,6,2,16,random_live,0.885025817555938,0.6597011385199242,0.45153428284602104
