dataset,seed,arm,k,p,budget,mean_weight,amplification,balanced,f1
EColi,0,spectral,128,0.05,10000.0,2.9453125,1.2277692725687213,0.8548089591567852,0.7746478873239436
EColi,0,spectral,128,0.05,inf,2.9453125,1.2277692725687213,0.8548089591567852,0.7746478873239436
EColi,0,spectral,128,0.1,1000.0,2.9453125,1.5371502004481634,0.8548089591567852,0.7746478873239436
EColi,0,spectral,128,0.1,10000.0,2.9453125,1.5371502004481634,0.8481422924901185,0.7659574468085106
EColi,0,spectral,128,0.1,inf,2.9453125,1.5371502004481634,0.8548089591567852,0.7746478873239436
EColi,0,spectral,128,0.2,1000.0,2.9453125,2.590667901782665,0.8548089591567852,0.7746478873239436
EColi,0,spectral,128,0.2,10000.0,2.9453125,2.590667901782665,0.8491304347826087,0.7714285714285715
EColi,0,spectral,128,0.2,inf,2.9453125,2.590667901782665,0.8548089591567852,0.7746478873239436
EColi,0,random_live,4,0.0,1000.0,2.75,1.0,0.5570355731225296,0.20689655172413793
EColi,0,random_live,4,0.0,10000.0,2.75,1.0,0.5570355731225296,0.20689655172413793
