dataset,n_qubits,seed,k,arm,budget,shots_per_obs,dead_in_basis,wasted_shots,mean_abs_est_error,accuracy,balanced,f1
EColi,4,2,64,spectral,10000.0,156.0,0,0,0.05868696280570716,0.919104991394148,0.7722722960151802,0.6713286713286714
EColi,4,2,64,spectral,100000.0,1562.0,0,0,0.019418340712064962,0.919104991394148,0.7722722960151802,0.6713286713286714
EColi,4,2,64,spectral,inf,inf,0,0,0.0,0.919104991394148,0.7722722960151802,0.6713286713286714
EColi,4,2,64,random_live,1000.0,15.0,0,0,0.19867316825291623,0.9104991394148021,0.7672319734345351,0.6486486486486487
EColi,4,2,64,random_live,10000.0,156.0,0,0,0.06694538873592122,0.9104991394148021,0.7672319734345351,0.6486486486486487
EColi,4,2,64,random_live,100000.0,1562.0,0,0,0.01641294890230937,0.9104991394148021,0.7672319734345351,0.6486486486486487
EColi,4,2,64,random_live,inf,inf,0,0,0.0,0.9104991394148021,0.7672319734345351,0.6486486486486487
EColi,4,2,64,random_all,1000.0,15.0,30,450,0.1910355285503585,0.9294320137693631,0.7929435483870968,0.7132867132867133
EColi,4,2,64,random_all,10000.0,156.0,30,4680,0.06631110021760564,0.9294320137693631,0.7929435483870968,0.7132867132867133
EColi,4,2,64,random_all,100000.0,1562.0,30,46860,0.020612105894489613,0.9294320137693631,0.7929435483870968,0.7132867132867133
EColi,4,2,64,random_all,inf,inf,30,0,0.0,0.9294320137693631,0.7929435483870968,0.7132867132867133
20News,4,0,16,spectral,1000.0,62.0,0,0,0.0971396891501859,0.7717996289424861,0.7605123180291153,0.8075117370892019
20News,4,0,16,spectral,10000.0,625.0,0,0,0.03678863316942908,0.7717996289424861,0.7605123180291153,0.8075117370892019
20News,4,0,16,spectral,100000.0,6250.0,0,0,0.013067485591748003,0.7717996289424861,0.7605123180291153,0.8075117370892019
20News,4,0,16,spectral,inf,inf,0,0,0.0,0.7717996289424861,0.7605123180291153,0.8075117370892019
20News,4,0,16,random_live,1000.0,62.0,0,0,0.09477602699508625,0.6048237476808905,0.5989641657334827,0.6479338842975206
20News,4,0,16,random_live,10000.0,625.0,0,0,0.0318803721594625,0.6122448979591837,0.6069918812989922,0.6533996683250415
20News,4,0,16,random_live,100000.0,6250.0,0,0,0.008965472723905101,0.6122448979591837,0.6069918812989922,0.6533996683250415
20News,4,0,16,random_live,inf,inf,0,0,0.0,0.6122448979591837,0.6069918812989922,0.6533996683250415
20News,4,0,16,random_all,1000.0,62.0,6,372,0.0764233786728796,0.5974025974025974,0.5730683090705487,0.6813509544787077
20News,4,0,16,random_all,10000.0,625.0,6,3750,0.02785341245784399,0.5974025974025974,0.5730683090705487,0.6813509544787077
20News,4,0,16,random_all,100000.0,6250.0,6,37500,0.010485802232076381,0.5974025974025974,0.5730683090705487,0.6813509544787077
20News,4,0,16,random_all,inf,inf,6,0,0.0,0.5974025974025974,0.5730683090705487,0.6813509544787077
20News,4,0,32,spectral,1000.0,31.0,0,0,0.15034060706390492,0.7699443413729128,0.7627309630459127,0.8006430868167203
20News,4,0,32,spectral,10000.0,312.0,0,0,0.04935932606119198,0.7736549165120594,0.7665033594624859,0.8038585209003215
20News,4,0,32,spectral,100000.0,3125.0,0,0,0.011397150275418592,0.7699443413729128,0.7627309630459127,0.8006430868167203
20News,4,0,32,spectral,inf,inf,0,0,0.0,0.7699443413729128,0.7627309630459127,0.8006430868167203
20News,4,0,32,random_live,1000.0,31.0,0,0,0.1115683703967621,0.7272727272727273,0.7200727883538633,0.7625201938610663
20News,4,0,32,random_live,10000.0,312.0,0,0,0.040765048834257044,0.7217068645640075,0.7136898096304591,0.7588424437299035
20News,4,0,32,random_live,100000.0,3125.0,0,0,0.014084306116682873,0.7272727272727273,0.7200727883538633,0.7625201938610663
20News,4,0,32,random_live,inf,inf,0,0,0.0,0.7272727272727273,0.7200727883538633,0.7625201938610663
20News,4,0,32,random_all,1000.0,31.0,19,589,0.09355791342659783,0.6066790352504638,0.5923992161254199,0.66875
20News,4,0,32,random_all,10000.0,312.0,19,5928,0.0482391398751678,0.6066790352504638,0.5923992161254199,0.66875
20News,4,0,32,random_all,100000.0,3125.0,19,59375,0.016892121886311756,0.6066790352504638,0.5923992161254199,0.66875
20News,4,0,32,random_all,inf,inf,19,0,0.0,0.6066790352504638,0.5923992161254199,0.66875
20News,4,0,64,spectral,1000.0,15.0,0,0,0.19973322255559933,0.7884972170686456,0.7835246360582306,0.8143322475570033
20News,4,0,64,spectral,10000.0,156.0,0,0,0.0620264788805861,0.7903525046382189,0.785169372900336,0.816260162601626
20News,4,0,64,spectral,100000.0,1562.0,0,0,0.016232970270625677,0.7755102040816326,0.7700797872340426,0.8032520325203252
20News,4,0,64,spectral,inf,inf,0,0,0.0,0.7884972170686456,0.7835246360582306,0.8143322475570033
20News,4,0,64,random_live,1000.0,15.0,0,0,0.19447620184404335,0.7309833024118738,0.7296402575587906,0.7563025210084033
20News,4,0,64,random_live,10000.0,156.0,0,0,0.06594420491833247,0.7421150278293135,0.7409574468085106,0.7663865546218488
20News,4,0,64,random_live,100000.0,1562.0,0,0,0.018336223706264775,0.7309833024118738,0.7296402575587906,0.7563025210084033
20News,4,0,64,random_live,inf,inf,0,0,0.0,0.7309833024118738,0.7296402575587906,0.7563025210084033
20News,4,0,64,random_all,1000.0,15.0,26,390,0.19758434107573042,0.6938775510204082,0.6846724524076148,0.736
20News,4,0,64,random_all,10000.0,156.0,26,4056,0.08111663193226396,0.6938775510204082,0.6846724524076148,0.736
20News,4,0,64,random_all,100000.0,1562.0,26,40612,0.017972412600189766,0.6938775510204082,0.6846724524076148,0.736
20News,4,0,64,random_all,inf,inf,26,0,0.0,0.6938775510204082,0.6846724524076148,0.736
20News,4,1,16,spectral,1000.0,62.0,0,0,0.11616004045758446,0.7161410018552876,0.7062760220191691,0.7567567567567568
20News,4,1,16,spectral,10000.0,625.0,0,0,0.026255856156074554,0.7291280148423006,0.7183195014949563,0.7697160883280757
20News,4,1,16,spectral,100000.0,6250.0,0,0,0.009663170129882721,0.7291280148423006,0.7183195014949563,0.7697160883280757
20News,4,1,16,spectral,inf,inf,0,0,0.0,0.7291280148423006,0.7183195014949563,0.7697160883280757
20News,4,1,16,random_live,1000.0,62.0,0,0,0.08581963976906143,0.6326530612244898,0.6199667477016795,0.6886792452830188
20News,4,1,16,random_live,10000.0,625.0,0,0,0.03196862390752141,0.6326530612244898,0.6199667477016795,0.6886792452830188
20News,4,1,16,random_live,100000.0,6250.0,0,0,0.010609052478139064,0.6326530612244898,0.6199667477016795,0.6886792452830188
20News,4,1,16,random_live,inf,inf,0,0,0.0,0.6326530612244898,0.6199667477016795,0.6886792452830188
20News,4,1,16,random_all,1000.0,62.0,6,372,0.09120152966492068,0.6178107606679035,0.603543186073155,0.6791277258566978
20News,4,1,16,random_all,10000.0,625.0,6,3750,0.03405184641229064,0.6178107606679035,0.603543186073155,0.6791277258566978
20News,4,1,16,random_all,100000.0,6250.0,6,37500,0.008707685520301678,0.6178107606679035,0.603543186073155,0.6791277258566978
20News,4,1,16,random_all,inf,inf,6,0,0.0,0.6178107606679035,0.603543186073155,0.6791277258566978
20News,4,1,32,spectral,1000.0,31.0,0,0,0.17370630601762715,0.7402597402597403,0.7346103333612765,0.7712418300653595
20News,4,1,32,spectral,10000.0,312.0,0,0,0.035029206266125316,0.7402597402597403,0.7346103333612765,0.7712418300653595
20News,4,1,32,spectral,100000.0,3125.0,0,0,0.012754745348470285,0.7402597402597403,0.7346103333612765,0.7712418300653595
20News,4,1,32,spectral,inf,inf,0,0,0.0,0.7402597402597403,0.7346103333612765,0.7712418300653595
20News,4,1,32,random_live,1000.0,31.0,0,0,0.1621335098739016,0.6437847866419295,0.628084220527007,0.7046153846153846
20News,4,1,32,random_live,10000.0,312.0,0,0,0.04268984609192285,0.640074211502783,0.6270433397602482,0.6959247648902821
20News,4,1,32,random_live,100000.0,3125.0,0,0,0.011559949381421963,0.6437847866419295,0.628084220527007,0.7046153846153846
20News,4,1,32,random_live,inf,inf,0,0,0.0,0.6437847866419295,0.628084220527007,0.7046153846153846
20News,4,1,32,random_all,1000.0,31.0,16,496,0.12049367185906584,0.634508348794063,0.6211683013384748,0.6917057902973396
20News,4,1,32,random_all,10000.0,312.0,16,4992,0.03377359989892953,0.6419294990723562,0.630061195406153,0.6951026856240127
20News,4,1,32,random_all,100000.0,3125.0,16,50000,0.015785249386292964,0.634508348794063,0.6211683013384748,0.6917057902973396
20News,4,1,32,random_all,inf,inf,16,0,0.0,0.634508348794063,0.6211683013384748,0.6917057902973396
20News,4,1,64,spectral,1000.0,15.0,0,0,0.18569368063413577,0.7476808905380334,0.7403246989130131,0.7806451612903226
20News,4,1,64,spectral,10000.0,156.0,0,0,0.06360537932192567,0.7291280148423006,0.7205898790063431,0.7660256410256411
20News,4,1,64,spectral,100000.0,1562.0,0,0,0.016286058607487424,0.7476808905380334,0.7403246989130131,0.7806451612903226
20News,4,1,64,spectral,inf,inf,0,0,0.0,0.7476808905380334,0.7403246989130131,0.7806451612903226
20News,4,1,64,random_live,1000.0,15.0,0,0,0.22617607580776833,0.7272727272727273,0.7162097968536061,0.768503937007874
20News,4,1,64,random_live,10000.0,156.0,0,0,0.06259464393914763,0.725417439703154,0.7145541677145333,0.7665615141955836
20News,4,1,64,random_live,100000.0,1562.0,0,0,0.01960853818177587,0.7272727272727273,0.7162097968536061,0.768503937007874
20News,4,1,64,random_live,inf,inf,0,0,0.0,0.7272727272727273,0.7162097968536061,0.768503937007874
20News,4,1,64,random_all,1000.0,15.0,31,465,0.1816382988153665,0.6660482374768089,0.6565792047391511,0.7115384615384616
20News,4,1,64,random_all,10000.0,156.0,31,4836,0.07215345950889358,0.6660482374768089,0.6565792047391511,0.7115384615384616
20News,4,1,64,random_all,100000.0,1562.0,31,48422,0.01912557494634448,0.6660482374768089,0.6565792047391511,0.7115384615384616
