train_f1,test_f1,train_bal,test_bal,dataset,n_qubits,seed,arm,k,n_live,n_train,k_over_n,gap_f1,gap_bal
0.7341040462427746,0.7194244604316546,0.8217534816422499,0.8194993412384717,EColi,4,0,random_live,48,136,1354,0.03545051698670606,0.014679585811119944,0.0022541404037782486
0.7514450867052023,0.723404255319149,0.8309368782781696,0.8251778656126483,EColi,4,0,random_live,64,136,1354,0.047267355982274745,0.02804083138605329,0.005759012665521368
0.757396449704142,0.7571428571428571,0.8282510399710616,0.8414756258234519,EColi,4,0,random_live,96,136,1354,0.07090103397341212,0.0002535925612848766,-0.01322458585239028
0.7543859649122807,0.7681159420289855,0.8295939591246156,0.8434519104084321,EColi,4,0,random_live,128,136,1354,0.09453471196454949,-0.013729977116704761,-0.013857951283816505
0.7543859649122807,0.7746478873239436,0.8295939591246156,0.8548089591567852,EColi,4,0,random_live,136,136,1354,0.10044313146233383,-0.020261922411662914,-0.025215000032169588
0.0,0.0,0.5,0.5,EColi,4,1,spectral,1,136,1354,0.0007385524372230429,0.0,0.0
0.29118773946360155,0.2962962962962963,0.5856192627653471,0.5908882536943156,EColi,4,1,spectral,2,136,1354,0.0014771048744460858,-0.005108556832694733,-0.005268990928968487
0.4519774011299435,0.42758620689655175,0.6730493402180149,0.6719744364146263,EColi,4,1,spectral,3,136,1354,0.0022156573116691287,0.024391194233391755,0.0010749038033885938
0.4878048780487805,0.44,0.6969395438898451,0.6827203106461007,EColi,4,1,spectral,4,136,1354,0.0029542097488921715,0.047804878048780475,0.014219233243744411
0.6666666666666666,0.656934306569343,0.7848716293746414,0.7895183906806169,EColi,4,1,spectral,6,136,1354,0.004431314623338257,0.009732360097323589,-0.004646761305975522
0.6914285714285714,0.6571428571428571,0.7991833405048767,0.7943992018121022,EColi,4,1,spectral,8,136,1354,0.005908419497784343,0.03428571428571425,0.004784138692774498
0.6792452830188679,0.6758620689655173,0.8053194922547332,0.8129786430805739,EColi,4,1,spectral,12,136,1354,0.008862629246676515,0.003383214053350625,-0.007659150825840677
0.7142857142857143,0.6619718309859155,0.8113211775674125,0.8002642649120915,EColi,4,1,spectral,16,136,1354,0.011816838995568686,0.0523138832997988,0.01105691265532105
0.7230320699708455,0.6714285714285714,0.8112987664945497,0.8022327688490993,EColi,4,1,spectral,24,136,1354,0.01772525849335303,0.051603498542274084,0.009065997645450352
0.7386363636363636,0.6714285714285714,0.8256328886976477,0.8022327688490993,EColi,4,1,spectral,32,136,1354,0.023633677991137372,0.06720779220779227,0.023400119848548395
0.7335243553008596,0.6571428571428571,0.8208548479632817,0.7943992018121022,EColi,4,1,spectral,48,136,1354,0.03545051698670606,0.07638149815800244,0.026455646151179457
0.7813411078717201,0.6521739130434783,0.8416433591508892,0.788534138712113,EColi,4,1,spectral,64,136,1354,0.047267355982274745,0.1291671948282418,0.053109220438776195
0.8173913043478261,0.6666666666666666,0.8620239888123924,0.8012485168805954,EColi,4,1,spectral,96,136,1354,0.07090103397341212,0.1507246376811595,0.060775471931797
0.8173913043478261,0.6388888888888888,0.8620239888123924,0.7904621939380865,EColi,4,1,spectral,128,136,1354,0.09453471196454949,0.1785024154589373,0.07156179487430592
0.8184438040345822,0.6527777777777778,0.8641978628800918,0.7982957609750836,EColi,4,1,spectral,136,136,1354,0.10044313146233383,0.16566602625680438,0.06590210190500823
0.48322147651006714,0.4838709677419355,0.6728700516351118,0.6848101607162118,EColi,4,1,random_live,1,136,1354,0.0007385524372230429,-0.0006494912318683599,-0.011940109081099992
0.5015673981191222,0.48854961832061067,0.6881095811818704,0.6935875310106785,EColi,4,1,random_live,2,136,1354,0.0014771048744460858,0.013017779798511542,-0.005477949828808115
0.5316455696202531,0.5040650406504065,0.7015382960413081,0.6936279797217129,EColi,4,1,random_live,3,136,1354,0.0022156573116691287,0.02758052896984664,0.007910316319595267
0.5299684542586751,0.5040650406504065,0.7011080034423408,0.6936279797217129,EColi,4,1,random_live,4,136,1354,0.0029542097488921715,0.025903413608268644,0.0074800237206279485
0.5286624203821656,0.49586776859504134,0.6993644219736087,0.6877629166217236,EColi,4,1,random_live,6,136,1354,0.004431314623338257,0.03279465178712426,0.011601505351885089
